Date,Mode,Category,Note,Amount,Income/Expense,Currency,year,month,Transaction_id
11-02-2015,Cash,Groceries,No notes available!,54,Expense,INR,2015,February,TXN109
11-02-2015,Saving Bank account 1,Groceries,No notes available!,26,Expense,INR,2015,February,TXN110
12-02-2015,Cash,Groceries,No notes available!,10,Expense,INR,2015,February,TXN111
12-02-2015,Cash,Groceries,No notes available!,12,Expense,INR,2015,February,TXN112
12-02-2015,Cash,Groceries,No notes available!,10,Expense,INR,2015,February,TXN113
13-02-2015,Cash,Groceries,No notes available!,27,Expense,INR,2015,February,TXN114
13-02-2015,Saving Bank account 1,Groceries,No notes available!,21,Expense,INR,2015,February,TXN115
15-02-2015,Cash,Utilities,No notes available!,250,Expense,INR,2015,February,TXN116
15-02-2015,Cash,Groceries,No notes available!,20,Expense,INR,2015,February,TXN117
15-02-2015,Cash,Miscellaneous,No notes available!,500,Expense,INR,2015,February,TXN118
15-02-2015,Cash,Transportation,No notes available!,34,Expense,INR,2015,February,TXN119
15-02-2015,Cash,Groceries,No notes available!,15,Expense,INR,2015,February,TXN120
15-02-2015,Cash,Transportation,No notes available!,15,Expense,INR,2015,February,TXN121
15-02-2015,Cash,Groceries,No notes available!,20,Expense,INR,2015,February,TXN122
16-02-2015,Cash,Transportation,No notes available!,30,Expense,INR,2015,February,TXN123
16-02-2015,Saving Bank account 1,Groceries,No notes available!,249,Expense,INR,2015,February,TXN124
17-02-2015,Cash,Groceries,No notes available!,227,Expense,INR,2015,February,TXN125
19-02-2015,Cash,Groceries,No notes available!,60,Expense,INR,2015,February,TXN126
19-02-2015,Cash,Healthcare,Medicine,34,Expense,INR,2015,February,TXN127
19-02-2015,Cash,Healthcare,Health,45,Expense,INR,2015,February,TXN128
23-02-2015,Credit Card,Transportation,train,526,Expense,INR,2015,February,TXN129
23-02-2015,Cash,Discretionary,Footwear,20,Expense,INR,2015,February,TXN130
23-02-2015,Cash,Transportation,Train,20,Expense,INR,2015,February,TXN131
23-02-2015,Cash,Transportation,auto,20,Expense,INR,2015,February,TXN132
23-02-2015,Saving Bank account 1,Miscellaneous,No notes available!,4118,Expense,INR,2015,February,TXN133
24-02-2015,Cash,Groceries,Tea,10,Expense,INR,2015,February,TXN134
24-02-2015,Cash,Transportation,auto,66,Expense,INR,2015,February,TXN135
24-02-2015,Cash,Groceries,Grocery,160,Expense,INR,2015,February,TXN136
26-02-2015,Cash,Groceries,Tea,6,Expense,INR,2015,February,TXN137
26-02-2015,Cash,Transportation,auto,60,Expense,INR,2015,February,TXN138
26-02-2015,Cash,Groceries,Milk,26,Expense,INR,2015,February,TXN139
26-02-2015,Cash,Groceries,Grocery,30,Expense,INR,2015,February,TXN140
28-02-2015,Cash,Groceries,Tea,20,Expense,INR,2015,February,TXN141
28-02-2015,Cash,Groceries,Lunch,55,Expense,INR,2015,February,TXN142
28-02-2015,Cash,Groceries,Milk,26,Expense,INR,2015,February,TXN143
28-02-2015,Saving Bank account 1,Salary,No notes available!,49806,Income,INR,2015,February,TXN144
01-03-2015,Cash,Groceries,Tea,6,Expense,INR,2015,March,TXN145
01-03-2015,Saving Bank account 1,Groceries,Lunch,88,Expense,INR,2015,March,TXN146
01-03-2015,Cash,Groceries,Dinner,80,Expense,INR,2015,March,TXN147
01-03-2015,Cash,Groceries,fruits,20,Expense,INR,2015,March,TXN148
02-03-2015,Cash,Groceries,Tea,30,Expense,INR,2015,March,TXN149
02-03-2015,Saving Bank account 1,Miscellaneous,No notes available!,10000,Expense,INR,2015,March,TXN150
02-03-2015,Saving Bank account 1,Rent,No notes available!,2833,Expense,INR,2015,March,TXN151
02-03-2015,Cash,Groceries,breakfast,40,Expense,INR,2015,March,TXN152
02-03-2015,Cash,Healthcare,Hospital,300,Expense,INR,2015,March,TXN153
02-03-2015,Cash,Groceries,Lunch,25,Expense,INR,2015,March,TXN154
02-03-2015,Cash,Transportation,auto,10,Expense,INR,2015,March,TXN155
02-03-2015,Cash,Healthcare,Medicine,226,Expense,INR,2015,March,TXN156
03-03-2015,Cash,Utilities,No notes available!,333,Expense,INR,2015,March,TXN157
03-03-2015,Cash,Utilities,No notes available!,108,Expense,INR,2015,March,TXN158
03-03-2015,Cash,Healthcare,Medicine,82,Expense,INR,2015,March,TXN159
03-03-2015,Cash,Utilities,No notes available!,1667,Expense,INR,2015,March,TXN160
03-03-2015,Cash,Utilities,No notes available!,17,Expense,INR,2015,March,TXN161
03-03-2015,Cash,Healthcare,Hospital,3000,Expense,INR,2015,March,TXN162
04-03-2015,Cash,Groceries,beverage,25,Expense,INR,2015,March,TXN163
05-03-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,INR,2015,March,TXN164
05-03-2015,Cash,Discretionary,grooming,40,Expense,INR,2015,March,TXN165
06-03-2015,Cash,Groceries,beverage,25,Expense,INR,2015,March,TXN166
06-03-2015,Cash,Transportation,auto,10,Expense,INR,2015,March,TXN167
06-03-2015,Cash,Transportation,auto,10,Expense,INR,2015,March,TXN168
07-03-2015,Saving Bank account 1,Financial Obligations,No notes available!,1000,Expense,INR,2015,March,TXN169
07-03-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,INR,2015,March,TXN170
09-03-2015,Cash,Miscellaneous,No notes available!,6,Expense,INR,2015,March,TXN171
09-03-2015,Saving Bank account 1,Miscellaneous,No notes available!,129,Expense,INR,2015,March,TXN172
10-03-2015,Cash,Transportation,auto,20,Expense,INR,2015,March,TXN173
10-03-2015,Cash,Transportation,auto,10,Expense,INR,2015,March,TXN174
10-03-2015,Cash,Transportation,Train,20,Expense,INR,2015,March,TXN175
10-03-2015,Saving Bank account 1,Transportation,train,11.8,Expense,INR,2015,March,TXN176
10-03-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,INR,2015,March,TXN177
10-03-2015,Saving Bank account 1,Transportation,train,11.8,Expense,INR,2015,March,TXN178
11-03-2015,Cash,Groceries,Tea,8,Expense,INR,2015,March,TXN179
11-03-2015,Saving Bank account 1,Financial Obligations,No notes available!,1000,Expense,INR,2015,March,TXN180
12-03-2015,Credit Card,Healthcare,Hospital,1900,Expense,INR,2015,March,TXN181
12-03-2015,Cash,Groceries,Tea,30,Expense,INR,2015,March,TXN182
13-03-2015,Cash,Transportation,auto,10,Expense,INR,2015,March,TXN183
14-03-2015,Cash,Discretionary,Laundry,40,Expense,INR,2015,March,TXN184
14-03-2015,Cash,Groceries,Milk,26,Expense,INR,2015,March,TXN185
15-03-2015,Cash,Miscellaneous,No notes available!,5,Expense,INR,2015,March,TXN186
15-03-2015,Cash,Groceries,Milk,36,Expense,INR,2015,March,TXN187
15-03-2015,Cash,Discretionary,Clothing,30,Expense,INR,2015,March,TXN188
16-03-2015,Cash,Groceries,Tea,20,Expense,INR,2015,March,TXN189
16-03-2015,Cash,Healthcare,Hospital,1000,Expense,INR,2015,March,TXN190
17-03-2015,Cash,Miscellaneous,No notes available!,450,Expense,INR,2015,March,TXN191
18-03-2015,Cash,Groceries,Milk,26,Expense,INR,2015,March,TXN192
18-03-2015,Cash,Groceries,breakfast,20,Expense,INR,2015,March,TXN193
18-03-2015,Cash,Groceries,Lunch,25,Expense,INR,2015,March,TXN194
18-03-2015,Cash,Groceries,snacks,53,Expense,INR,2015,March,TXN195
19-03-2015,Cash,Utilities,Kitchen,50,Expense,INR,2015,March,TXN196
20-03-2015,Cash,Discretionary,Laundry,100,Expense,INR,2015,March,TXN197
20-03-2015,Credit Card,Healthcare,Hospital,3700,Expense,INR,2015,March,TXN198
23-03-2015,Credit Card,Groceries,Grocery,433.8,Expense,INR,2015,March,TXN199
23-03-2015,Cash,Utilities,No notes available!,20,Expense,INR,2015,March,TXN200
24-03-2015,Cash,Groceries,Milk,26,Expense,INR,2015,March,TXN201
25-03-2015,Cash,Utilities,No notes available!,20,Expense,INR,2015,March,TXN202
29-03-2015,Cash,Groceries,Grocery,150,Expense,INR,2015,March,TXN203
29-03-2015,Cash,Healthcare,Medicine,269,Expense,INR,2015,March,TXN204
31-03-2015,Saving Bank account 1,Salary,No notes available!,70806,Income,INR,2015,March,TXN205
01-04-2015,Cash,Groceries,Grocery,50,Expense,INR,2015,April,TXN206
02-04-2015,Cash,Utilities,No notes available!,5000,Expense,INR,2015,April,TXN207
04-04-2015,Cash,Utilities,No notes available!,50,Expense,INR,2015,April,TXN208
04-04-2015,Cash,Miscellaneous,No notes available!,300,Expense,INR,2015,April,TXN209
04-04-2015,Credit Card,Groceries,Grocery,889,Expense,INR,2015,April,TXN210
04-04-2015,Cash,Groceries,Grocery,287,Expense,INR,2015,April,TXN211
05-04-2015,Saving Bank account 1,Miscellaneous,No notes available!,10000,Expense,INR,2015,April,TXN212
06-04-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,INR,2015,April,TXN213
07-04-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,INR,2015,April,TXN214
07-04-2015,Saving Bank account 1,Financial Obligations,No notes available!,1000,Expense,INR,2015,April,TXN215
08-04-2015,Cash,Groceries,Grocery,156,Expense,INR,2015,April,TXN216
10-04-2015,Cash,Groceries,Grocery,699,Expense,INR,2015,April,TXN217
13-04-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,INR,2015,April,TXN218
13-04-2015,Saving Bank account 1,Financial Obligations,No notes available!,1000,Expense,INR,2015,April,TXN219
14-04-2015,Saving Bank account 1,Miscellaneous,No notes available!,500,Expense,INR,2015,April,TXN220
18-04-2015,Saving Bank account 1,Miscellaneous,No notes available!,180,Expense,INR,2015,April,TXN221
18-04-2015,Saving Bank account 1,Groceries,Grocery,324,Expense,INR,2015,April,TXN222
23-04-2015,Cash,Groceries,Milk,56,Expense,INR,2015,April,TXN223
24-04-2015,Saving Bank account 1,Groceries,Grocery,420,Expense,INR,2015,April,TXN224
26-04-2015,Saving Bank account 1,Groceries,Dinner,114,Expense,INR,2015,April,TXN225
26-04-2015,Saving Bank account 1,Groceries,Grocery,110,Expense,INR,2015,April,TXN226
26-04-2015,Cash,Miscellaneous,No notes available!,59,Expense,INR,2015,April,TXN227
28-04-2015,Saving Bank account 1,Salary,No notes available!,49306,Income,INR,2015,April,TXN228
28-04-2015,Cash,Groceries,Milk,28,Expense,INR,2015,April,TXN229
01-05-2015,Cash,Groceries,Grocery,20,Expense,INR,2015,May,TXN230
02-05-2015,Cash,Groceries,Milk,28,Expense,INR,2015,May,TXN231
02-05-2015,Credit Card,Miscellaneous,No notes available!,10000,Expense,INR,2015,May,TXN232
03-05-2015,Cash,Utilities,No notes available!,5000,Expense,INR,2015,May,TXN233
03-05-2015,Saving Bank account 1,Groceries,Grocery,1178,Expense,INR,2015,May,TXN234
03-05-2015,Saving Bank account 1,Financial Obligations,No notes available!,20000,Expense,INR,2015,May,TXN235
05-05-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,INR,2015,May,TXN236
05-05-2015,Cash,Groceries,Grocery,100,Expense,INR,2015,May,TXN237
05-05-2015,Cash,Groceries,Milk,26,Expense,INR,2015,May,TXN238
05-05-2015,Saving Bank account 1,Financial Obligations,No notes available!,1000,Expense,INR,2015,May,TXN239
06-05-2015,Cash,Healthcare,Medicine,70,Expense,INR,2015,May,TXN240
07-05-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,INR,2015,May,TXN241
08-05-2015,Cash,Groceries,Milk,26,Expense,INR,2015,May,TXN242
09-05-2015,Cash,Groceries,Grocery,20,Expense,INR,2015,May,TXN243
09-05-2015,Cash,Groceries,Milk,52,Expense,INR,2015,May,TXN244
09-05-2015,Cash,Healthcare,Health,290,Expense,INR,2015,May,TXN245
10-05-2015,Cash,Utilities,Toiletries,160,Expense,INR,2015,May,TXN246
11-05-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,INR,2015,May,TXN247
11-05-2015,Saving Bank account 1,Financial Obligations,No notes available!,1000,Expense,INR,2015,May,TXN248
11-05-2015,Cash,Groceries,Milk,26,Expense,INR,2015,May,TXN249
11-05-2015,Cash,Groceries,Grocery,20,Expense,INR,2015,May,TXN250
12-05-2015,Cash,Groceries,Milk,26,Expense,INR,2015,May,TXN251
13-05-2015,Saving Bank account 1,Groceries,Milk,26,Expense,INR,2015,May,TXN252
13-05-2015,Cash,Healthcare,Health,250,Expense,INR,2015,May,TXN253
14-05-2015,Saving Bank account 1,Miscellaneous,No notes available!,1450,Expense,INR,2015,May,TXN254
15-05-2015,Saving Bank account 1,Groceries,Milk,26,Expense,INR,2015,May,TXN255
16-05-2015,Saving Bank account 1,Miscellaneous,No notes available!,607,Expense,INR,2015,May,TXN256
16-05-2015,Cash,Groceries,fruits,20,Expense,INR,2015,May,TXN257
16-05-2015,Saving Bank account 1,Groceries,Milk,26,Expense,INR,2015,May,TXN258
17-05-2015,Saving Bank account 1,Transportation,Taxi,6000,Expense,INR,2015,May,TXN259
31-05-2015,Saving Bank account 1,Miscellaneous,No notes available!,10000,Expense,INR,2015,May,TXN260
31-05-2015,Saving Bank account 1,Salary,No notes available!,47859,Income,INR,2015,May,TXN261
31-05-2015,Saving Bank account 1,Utilities,Appliances,2671,Expense,INR,2015,May,TXN262
01-06-2015,Saving Bank account 1,Financial Obligations,No notes available!,10000,Expense,INR,2015,June,TXN263
01-06-2015,Saving Bank account 1,Rent,No notes available!,2543,Expense,INR,2015,June,TXN264
01-06-2015,Saving Bank account 1,Utilities,No notes available!,776,Expense,INR,2015,June,TXN265
05-06-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,INR,2015,June,TXN266
05-06-2015,Saving Bank account 1,Financial Obligations,No notes available!,1000,Expense,INR,2015,June,TXN267
08-06-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,INR,2015,June,TXN268
10-06-2015,Saving Bank account 1,Miscellaneous,No notes available!,50,Expense,INR,2015,June,TXN269
10-06-2015,Saving Bank account 1,Financial Obligations,No notes available!,1000,Expense,INR,2015,June,TXN270
10-06-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,INR,2015,June,TXN271
23-06-2015,Saving Bank account 1,Miscellaneous,No notes available!,999,Expense,INR,2015,June,TXN272
29-06-2015,Saving Bank account 1,Miscellaneous,No notes available!,199,Expense,INR,2015,June,TXN273
30-06-2015,Saving Bank account 1,Salary,No notes available!,47859,Income,INR,2015,June,TXN274
01-07-2015,Saving Bank account 1,Utilities,No notes available!,333,Expense,INR,2015,July,TXN275
01-07-2015,Saving Bank account 1,Financial Obligations,No notes available!,10000,Expense,INR,2015,July,TXN276
01-07-2015,Saving Bank account 1,Miscellaneous,No notes available!,10000,Expense,INR,2015,July,TXN277
01-07-2015,Saving Bank account 1,Rent,No notes available!,2833,Expense,INR,2015,July,TXN278
02-07-2015,Saving Bank account 1,Miscellaneous,No notes available!,312,Expense,INR,2015,July,TXN279
06-07-2015,Saving Bank account 1,Financial Obligations,No notes available!,1000,Expense,INR,2015,July,TXN280
06-07-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,INR,2015,July,TXN281
07-07-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,INR,2015,July,TXN282
09-07-2015,Saving Bank account 1,Miscellaneous,No notes available!,459,Expense,INR,2015,July,TXN283
10-07-2015,Saving Bank account 1,Financial Obligations,No notes available!,1000,Expense,INR,2015,July,TXN284
10-07-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,INR,2015,July,TXN285
19-07-2015,Saving Bank account 1,Miscellaneous,No notes available!,2599,Expense,INR,2015,July,TXN286
29-07-2015,Saving Bank account 1,Miscellaneous,No notes available!,199,Expense,INR,2015,July,TXN287
31-07-2015,Saving Bank account 1,Salary,No notes available!,47859,Income,INR,2015,July,TXN288
02-08-2015,Saving Bank account 1,Rent,No notes available!,2500,Expense,INR,2015,August,TXN289
02-08-2015,Saving Bank account 1,Financial Obligations,No notes available!,10000,Expense,INR,2015,August,TXN290
02-08-2015,Saving Bank account 1,Miscellaneous,No notes available!,10000,Expense,INR,2015,August,TXN291
03-08-2015,Saving Bank account 1,Utilities,No notes available!,333,Expense,INR,2015,August,TXN292
05-08-2015,Saving Bank account 1,Financial Obligations,No notes available!,1000,Expense,INR,2015,August,TXN293
05-08-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,INR,2015,August,TXN294
07-08-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,INR,2015,August,TXN295
10-08-2015,Saving Bank account 1,Financial Obligations,No notes available!,1000,Expense,INR,2015,August,TXN296
10-08-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,INR,2015,August,TXN297
13-08-2015,Saving Bank account 1,Miscellaneous,No notes available!,1450,Expense,INR,2015,August,TXN298
14-08-2015,Saving Bank account 1,Utilities,Kitchen,3499,Expense,INR,2015,August,TXN299
28-08-2015,Saving Bank account 1,Miscellaneous,No notes available!,199,Expense,INR,2015,August,TXN300
30-08-2015,Saving Bank account 1,Miscellaneous,No notes available!,72,Expense,INR,2015,August,TXN301
31-08-2015,Saving Bank account 1,Miscellaneous,No notes available!,287,Expense,INR,2015,August,TXN302
31-08-2015,Saving Bank account 1,Miscellaneous,No notes available!,10000,Expense,INR,2015,August,TXN303
31-08-2015,Saving Bank account 1,Salary,No notes available!,49806,Income,INR,2015,August,TXN304
01-09-2015,Saving Bank account 1,Financial Obligations,No notes available!,10000,Expense,INR,2015,September,TXN305
04-09-2015,Saving Bank account 1,Miscellaneous,No notes available!,4800,Income,INR,2015,September,TXN306
05-09-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,INR,2015,September,TXN307
05-09-2015,Saving Bank account 1,Financial Obligations,No notes available!,1000,Expense,INR,2015,September,TXN308
07-09-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,INR,2015,September,TXN309
10-09-2015,Saving Bank account 1,Financial Obligations,No notes available!,1000,Expense,INR,2015,September,TXN310
10-09-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,INR,2015,September,TXN311
11-09-2015,Saving Bank account 1,Groceries,Lunch,379,Expense,INR,2015,September,TXN312
21-09-2015,Saving Bank account 1,Miscellaneous,No notes available!,2099,Expense,INR,2015,September,TXN313
26-09-2015,Cash,Miscellaneous,No notes available!,30,Expense,INR,2015,September,TXN314
27-09-2015,Saving Bank account 1,Miscellaneous,No notes available!,199,Expense,INR,2015,September,TXN315
28-09-2015,Cash,Miscellaneous,No notes available!,350,Expense,INR,2015,September,TXN316
28-09-2015,Cash,Healthcare,Health,300,Expense,INR,2015,September,TXN317
